repo_id,full_name,stars,created_at,pushed_at,license_spdx,license_stratum,language,homepage,class_label,signal_type,has_repo_robots,repo_robots_blocks_all,repo_robots_blocks_ai_count,has_homepage_robots,homepage_robots_blocks_all,homepage_robots_blocks_ai_count,has_llms_txt,tdm_reservation_header,x_robots_noai,readme_opt_out_count,readme_opt_in_count,license_opt_out_count,license_opt_in_count
239201565,serengil/deepface,23053,2020-02-08T20:42:28Z,2026-06-29T11:52:30Z,MIT,permissive,Python,https://www.youtube.com/watch?v=WnUVYQP4h44&list=PLsS_1RYmYQQFdWqxQggXHynP1rqaYXv_E,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
8162715,saleor/saleor,23047,2013-02-12T16:46:39Z,2026-07-02T14:24:55Z,BSD-3-Clause,permissive,Python,https://saleor.io,OPT_IN,llms.txt present at homepage,False,False,0,True,False,0,True,False,False,0,0,0,0
854807707,NirDiamant/GenAI_Agents,22970,2024-09-09T20:10:19Z,2026-06-17T20:54:15Z,NOASSERTION,no_license,Jupyter Notebook,,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
1385122,matplotlib/matplotlib,22947,2011-02-19T03:17:12Z,2026-07-02T05:15:50Z,,no_license,Python,https://matplotlib.org/stable/,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
243181735,amusi/CVPR2026-Papers-with-Code,22740,2020-02-26T06:04:25Z,2026-03-08T07:27:34Z,,no_license,,,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
139199684,PrefectHQ/prefect,22734,2018-06-29T21:59:26Z,2026-07-02T14:45:34Z,Apache-2.0,permissive,Python,https://prefect.io,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
476314415,AccumulateMore/CV,22340,2022-03-31T13:19:32Z,2026-06-30T14:36:23Z,,no_license,Jupyter Notebook,,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
29050338,mementum/backtrader,22261,2015-01-10T07:14:52Z,2024-08-19T17:47:36Z,GPL-3.0,copyleft,Python,https://www.backtrader.com,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
15830664,mkdocs/mkdocs,22234,2014-01-11T21:05:21Z,2025-10-20T13:17:06Z,BSD-2-Clause,permissive,Python,https://www.mkdocs.org,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
301742,tornadoweb/tornado,22188,2009-09-09T04:55:16Z,2026-06-26T00:55:24Z,Apache-2.0,permissive,Python,http://www.tornadoweb.org/,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
764723738,Skyvern-AI/skyvern,22079,2024-02-28T15:45:19Z,2026-07-02T14:34:55Z,AGPL-3.0,copyleft,Python,https://www.skyvern.com,OPT_IN,llms.txt present at homepage,False,False,0,True,False,0,True,False,False,0,0,0,0
823430322,FunAudioLLM/CosyVoice,21935,2024-07-03T02:59:22Z,2026-05-25T18:15:40Z,Apache-2.0,permissive,Python,https://funaudiollm.github.io/cosyvoice3,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
15337142,micropython/micropython,21856,2013-12-20T11:47:07Z,2026-07-02T13:36:22Z,NOASSERTION,no_license,C,https://micropython.org,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
149430917,recommenders-team/recommenders,21806,2018-09-19T10:06:07Z,2026-06-29T15:18:42Z,MIT,permissive,Python,https://recommenders-team.github.io/recommenders/intro.html,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
678526156,marimo-team/marimo,21665,2023-08-14T18:56:20Z,2026-07-02T14:19:04Z,Apache-2.0,permissive,Python,https://marimo.io,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
283046497,airbytehq/airbyte,21563,2020-07-27T23:55:54Z,2026-07-02T14:50:27Z,NOASSERTION,no_license,Python,https://airbyte.com,OPT_IN,llms.txt present at homepage,False,False,0,True,False,0,True,False,False,0,0,0,0
197261780,bee-san/Ciphey,21469,2019-07-16T20:20:39Z,2026-06-26T03:24:06Z,MIT,permissive,Rust,,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
570384908,huggingface/peft,21352,2022-11-25T03:51:09Z,2026-07-02T12:49:41Z,Apache-2.0,permissive,Python,https://huggingface.co/docs/peft,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
52796596,netbox-community/netbox,21010,2016-02-29T14:15:46Z,2026-07-02T13:56:34Z,Apache-2.0,permissive,Python,https://netboxlabs.com/products/netbox/,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
1217614,xbmc/xbmc,20908,2011-01-03T21:18:51Z,2026-07-02T11:49:24Z,NOASSERTION,no_license,C++,https://kodi.tv/,OPT_OUT,"homepage robots.txt: blocks AI crawlers ['Amazonbot', 'Bytespider', 'CCBot']",False,False,0,True,False,5,False,False,False,0,0,0,0
1003143578,NirDiamant/agents-towards-production,20896,2025-06-16T17:33:44Z,2026-06-17T20:54:13Z,NOASSERTION,no_license,Jupyter Notebook,,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
7053637,python/mypy,20511,2012-12-07T13:30:23Z,2026-07-02T12:05:34Z,NOASSERTION,no_license,Python,https://www.mypy-lang.org/,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
3834332,bokeh/bokeh,20410,2012-03-26T15:40:01Z,2026-07-02T15:00:14Z,BSD-3-Clause,permissive,TypeScript,https://bokeh.org,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
16479108,wagtail/wagtail,20382,2014-02-03T12:41:59Z,2026-07-01T23:08:50Z,BSD-3-Clause,permissive,Python,https://wagtail.org,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
27251463,QuantConnect/Lean,20306,2014-11-28T04:20:19Z,2026-07-02T14:52:34Z,Apache-2.0,permissive,C#,https://lean.io,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
73872834,facebook/prophet,20273,2016-11-16T01:50:08Z,2026-05-08T13:44:33Z,MIT,permissive,Python,https://facebook.github.io/prophet,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
6297520,quantopian/zipline,19942,2012-10-19T15:50:29Z,2024-02-13T08:02:51Z,Apache-2.0,permissive,Python,https://www.zipline.io,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
556191546,milanm/DevOps-Roadmap,19786,2022-10-23T09:19:46Z,2026-06-13T06:35:41Z,Apache-2.0,permissive,,https://newsletter.techworld-with-milan.com/,OPT_OUT,"homepage robots.txt: blocks AI crawlers ['GPTBot', 'Google-Extended']",False,False,0,True,False,2,False,False,False,0,0,0,0
229937405,fastapi/typer,19676,2019-12-24T12:24:11Z,2026-07-02T10:25:57Z,MIT,permissive,Python,https://typer.tiangolo.com/,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
